epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.1021,1.26585,2.94534,0.01325,0.01709,0.95664,0.34439,0.14562,1.04023,3.7521,0.01729,0.000648148,0.000648148,0.000648148
2,118.963,1.2217,2.31,0.01228,0.5967,0.48752,0.55086,0.28663,1.31343,2.97977,0.024,0.0013018,0.0013018,0.0013018
3,179.407,1.30218,1.90429,0.0135,0.71595,0.66573,0.74155,0.47237,1.19891,2.07091,0.0201,0.00194225,0.00194225,0.00194225
4,238.642,1.3445,1.76861,0.01442,0.65785,0.64933,0.67527,0.34285,1.57806,2.0277,0.02656,0.0019406,0.0019406,0.0019406
5,297.591,1.32257,1.62854,0.01371,0.69583,0.7385,0.77748,0.4835,1.28796,1.55905,0.02129,0.0019208,0.0019208,0.0019208
6,358.118,1.27818,1.48591,0.01329,0.73401,0.7293,0.77498,0.42499,1.51198,1.51319,0.02504,0.001901,0.001901,0.001901
7,425.602,1.28012,1.34619,0.01363,0.66239,0.75033,0.75859,0.45414,1.42275,1.38301,0.02546,0.0018812,0.0018812,0.0018812
8,502.029,1.25895,1.25613,0.01321,0.77238,0.74464,0.81429,0.43005,1.65971,1.17706,0.02589,0.0018614,0.0018614,0.0018614
9,584.266,1.2686,1.24136,0.01295,0.75457,0.80552,0.84158,0.53562,1.28773,1.03494,0.02169,0.0018416,0.0018416,0.0018416
10,671.53,1.24292,1.18925,0.01305,0.78766,0.79501,0.83756,0.57377,1.13936,1.06689,0.02004,0.0018218,0.0018218,0.0018218
11,749.121,1.2034,1.08974,0.01284,0.80073,0.80552,0.86528,0.49175,1.48532,1.01401,0.02265,0.001802,0.001802,0.001802
12,827.178,1.23751,1.13829,0.01303,0.79067,0.80946,0.8533,0.53939,1.26993,0.99839,0.02052,0.0017822,0.0017822,0.0017822
13,915.033,1.19924,1.07664,0.01279,0.77545,0.7661,0.81655,0.53649,1.22502,0.97907,0.02029,0.0017624,0.0017624,0.0017624
14,998.705,1.1875,1.02042,0.01239,0.77207,0.78187,0.84493,0.56091,1.18588,1.0495,0.02021,0.0017426,0.0017426,0.0017426
15,1093.64,1.23486,1.06914,0.01303,0.79694,0.80967,0.85245,0.57729,1.13745,0.85105,0.01955,0.0017228,0.0017228,0.0017228
16,1180.17,1.18126,1.0016,0.0122,0.83174,0.80545,0.8842,0.54048,1.38803,0.89478,0.02177,0.001703,0.001703,0.001703
17,1265.69,1.1826,0.97493,0.01235,0.82549,0.81428,0.87923,0.53682,1.38016,0.89996,0.02389,0.0016832,0.0016832,0.0016832
18,1349.69,1.12943,0.92317,0.01168,0.80314,0.82026,0.8675,0.58791,1.20684,0.8423,0.02006,0.0016634,0.0016634,0.0016634
19,1436.02,1.1308,0.89288,0.01194,0.83819,0.80289,0.8847,0.61765,1.13293,0.76726,0.01931,0.0016436,0.0016436,0.0016436
20,1520.08,1.15332,0.90691,0.01221,0.82961,0.78187,0.88295,0.61485,1.13712,0.79103,0.01985,0.0016238,0.0016238,0.0016238
21,1609.44,1.15461,0.93012,0.01248,0.79968,0.81312,0.85213,0.57876,1.15634,0.88086,0.01968,0.001604,0.001604,0.001604
22,1700.18,1.1635,0.89605,0.01194,0.81665,0.8318,0.8802,0.55066,1.30514,0.82553,0.02103,0.0015842,0.0015842,0.0015842
23,1784.08,1.12141,0.85693,0.01155,0.85463,0.84231,0.90466,0.63321,1.08833,0.76937,0.01842,0.0015644,0.0015644,0.0015644
24,1870.04,1.15547,0.87093,0.01181,0.82651,0.85767,0.89475,0.63481,1.07963,0.69974,0.01892,0.0015446,0.0015446,0.0015446
25,1950.64,1.10842,0.82007,0.01149,0.85352,0.82654,0.89817,0.64559,1.07488,0.69699,0.01841,0.0015248,0.0015248,0.0015248
26,2031.56,1.08662,0.80033,0.01159,0.78761,0.81864,0.86789,0.60482,1.1351,0.79213,0.01934,0.001505,0.001505,0.001505
27,2114.2,1.13818,0.83371,0.01187,0.85095,0.80026,0.88256,0.60262,1.13964,0.76079,0.01999,0.0014852,0.0014852,0.0014852
28,2192.24,1.10386,0.83291,0.0114,0.84046,0.82129,0.90988,0.62573,1.14315,0.69487,0.01944,0.0014654,0.0014654,0.0014654
29,2273.33,1.14233,0.82946,0.01198,0.85385,0.85414,0.92492,0.64133,1.14519,0.68413,0.01994,0.0014456,0.0014456,0.0014456
30,2349.72,1.06084,0.77438,0.01071,0.83958,0.8226,0.89697,0.60123,1.14056,0.79121,0.02024,0.0014258,0.0014258,0.0014258
31,2424.87,1.09243,0.81433,0.01154,0.89248,0.82523,0.91389,0.64851,1.10048,0.62036,0.01855,0.001406,0.001406,0.001406
32,2498.05,1.09056,0.78705,0.01155,0.86056,0.81472,0.90223,0.63091,1.13629,0.70013,0.01955,0.0013862,0.0013862,0.0013862
33,2567.1,1.10244,0.78428,0.01097,0.83646,0.85359,0.90354,0.59568,1.23072,0.70678,0.01986,0.0013664,0.0013664,0.0013664
34,2635.1,1.09162,0.77215,0.01133,0.83742,0.83837,0.90377,0.61973,1.16937,0.69701,0.01917,0.0013466,0.0013466,0.0013466
35,2706.8,1.06526,0.748,0.01099,0.85112,0.8489,0.90816,0.66102,1.02321,0.65462,0.01796,0.0013268,0.0013268,0.0013268
36,2782.73,1.06169,0.74117,0.01096,0.85299,0.88962,0.92948,0.67132,1.05126,0.61183,0.01759,0.001307,0.001307,0.001307
37,2854.71,1.00623,0.70846,0.01033,0.84461,0.86071,0.92647,0.66852,1.07958,0.6177,0.01775,0.0012872,0.0012872,0.0012872
