epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.2106,1.29591,2.83659,0.01397,0.1873,0.60947,0.28864,0.1509,1.18795,3.8085,0.0217,0.000653061,0.000653061,0.000653061
2,175.018,1.23125,2.12148,0.01324,0.59899,0.56124,0.60001,0.37242,1.29724,2.64757,0.0263,0.00130666,0.00130666,0.00130666
3,260.274,1.25576,1.76335,0.01376,0.66724,0.70907,0.71934,0.34955,1.55546,2.18361,0.02806,0.00194706,0.00194706,0.00194706
4,348.492,1.28573,1.55331,0.01415,0.70572,0.66272,0.73122,0.41182,1.45104,1.88424,0.0274,0.0019406,0.0019406,0.0019406
5,450.346,1.27345,1.43956,0.01432,0.74308,0.76331,0.77153,0.42399,1.56613,1.43173,0.02986,0.0019208,0.0019208,0.0019208
6,553.415,1.2459,1.31848,0.01363,0.72899,0.7357,0.76384,0.47186,1.30103,1.43749,0.02585,0.001901,0.001901,0.001901
7,651.925,1.19277,1.24451,0.01339,0.71823,0.72148,0.75173,0.47535,1.27392,1.47025,0.02513,0.0018812,0.0018812,0.0018812
8,751.758,1.23013,1.17465,0.01368,0.75719,0.75247,0.79341,0.47917,1.37882,1.38586,0.02797,0.0018614,0.0018614,0.0018614
9,864.206,1.17016,1.09426,0.01316,0.80174,0.81355,0.84682,0.55751,1.21033,1.01394,0.02247,0.0018416,0.0018416,0.0018416
10,976.01,1.16341,1.06528,0.01248,0.77712,0.76824,0.838,0.55062,1.24461,1.21371,0.02434,0.0018218,0.0018218,0.0018218
11,1101.41,1.18993,1.07163,0.01342,0.81656,0.79896,0.87121,0.60739,1.21056,0.99394,0.02448,0.001802,0.001802,0.001802
12,1218.37,1.17065,1.03386,0.01265,0.79432,0.80178,0.84241,0.58362,1.18353,1.06464,0.0241,0.0017822,0.0017822,0.0017822
13,1342.67,1.13798,0.99041,0.01221,0.76894,0.83728,0.86341,0.60268,1.11746,0.96235,0.02116,0.0017624,0.0017624,0.0017624
14,1462.45,1.15861,1.01518,0.01285,0.82112,0.79093,0.86221,0.58662,1.17087,1.10918,0.02213,0.0017426,0.0017426,0.0017426
15,1582.69,1.13594,0.93695,0.01241,0.80837,0.81125,0.85515,0.59414,1.18122,1.02893,0.02247,0.0017228,0.0017228,0.0017228
16,1711.44,1.11073,0.91765,0.01218,0.79558,0.7753,0.82898,0.47551,1.42683,1.12356,0.02423,0.001703,0.001703,0.001703
17,1837.08,1.12667,0.89313,0.01225,0.80092,0.8054,0.86296,0.58631,1.14541,0.99189,0.02217,0.0016832,0.0016832,0.0016832
18,1953.25,1.14093,0.9257,0.01275,0.77334,0.79071,0.84309,0.56527,1.17624,1.18884,0.02157,0.0016634,0.0016634,0.0016634
