epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.832,1.17898,2.46189,0.01088,0.606,0.50985,0.55935,0.33104,1.24531,2.54303,0.01967,0.000659498,0.000659498,0.000659498
2,339.929,1.15749,1.60242,0.0105,0.7347,0.64894,0.73557,0.43268,1.47859,1.63721,0.02336,0.00129991,0.00129991,0.00129991
3,514.918,1.17454,1.33901,0.01079,0.76257,0.75808,0.81826,0.51,1.29034,1.28716,0.01995,0.00191392,0.00191392,0.00191392
4,702.856,1.16517,1.18553,0.01079,0.76179,0.77423,0.82498,0.55803,1.1389,1.13023,0.01947,0.0018812,0.0018812,0.0018812
5,921.209,1.18509,1.08879,0.01102,0.79496,0.81118,0.86403,0.53028,1.36074,1.05538,0.02072,0.0018416,0.0018416,0.0018416
6,1172.1,1.1659,1.0057,0.01074,0.83414,0.80496,0.86664,0.60873,1.10568,0.85785,0.01787,0.001802,0.001802,0.001802
7,1407.95,1.12796,0.96586,0.01061,0.82674,0.83885,0.89755,0.63135,1.13751,0.77899,0.01881,0.0017624,0.0017624,0.0017624
8,1662.69,1.14413,0.94242,0.01057,0.83939,0.81639,0.88326,0.60159,1.19289,0.83401,0.01977,0.0017228,0.0017228,0.0017228
9,1921.6,1.1304,0.88983,0.01048,0.81932,0.83258,0.8928,0.63831,1.07748,0.83854,0.01699,0.0016832,0.0016832,0.0016832
10,2167.78,1.09572,0.87606,0.00999,0.86718,0.83089,0.91063,0.6722,1.02353,0.68357,0.01636,0.0016436,0.0016436,0.0016436
11,2441.64,1.08631,0.83595,0.01,0.8626,0.84476,0.90652,0.639,1.09928,0.70543,0.01761,0.001604,0.001604,0.001604
12,2747.03,1.08681,0.85346,0.00988,0.85,0.82112,0.89156,0.63311,1.07289,0.77082,0.01721,0.0015644,0.0015644,0.0015644
13,3020.47,1.08884,0.78525,0.01005,0.87833,0.8617,0.92844,0.65246,1.12608,0.64213,0.01632,0.0015248,0.0015248,0.0015248
14,3325.87,1.05696,0.76158,0.00968,0.86635,0.8658,0.92282,0.69295,0.99893,0.68098,0.01617,0.0014852,0.0014852,0.0014852
15,3647.7,1.04983,0.76297,0.00952,0.86482,0.86328,0.92028,0.68401,1.02434,0.65164,0.01625,0.0014456,0.0014456,0.0014456
16,3958.15,1.05718,0.77473,0.0099,0.86613,0.85579,0.91383,0.66212,1.06719,0.65554,0.01693,0.001406,0.001406,0.001406
17,4272.07,1.02505,0.73251,0.00928,0.87964,0.85619,0.92008,0.70736,0.93037,0.60579,0.01518,0.0013664,0.0013664,0.0013664
